,open,,low,close,volume,date,,high
309,83.2435,,83.2,83.269,49635,12/3/2021 11:39,83.6027,83.3689
310,83.248,,83.2301,83.3,82581,12/3/2021 11:40,83.55984286,83.39
311,83.2801,,83.22,83.2201,26920,12/3/2021 11:41,83.51984286,83.37
312,83.22,,83.2,83.34,33631,12/3/2021 11:42,83.48841429,83.35
313,83.35,,83.3301,83.485,74636,12/3/2021 11:43,83.46698571,83.53
314,83.485,,83.4415,83.5388,36213,12/3/2021 11:44,83.44984286,83.55
315,83.55,,83.5,83.6,54192,12/3/2021 11:45,83.45841429,83.65
316,83.6,,83.57,83.65,50309,12/3/2021 11:46,83.50285714,83.68
317,83.63,,83.59,83.6999,32580,12/3/2021 11:47,83.54714286,83.7
318,83.6917,,83.56,83.575,50789,12/3/2021 11:48,83.60428571,83.77
319,83.59,,83.4,83.43,42170,12/3/2021 11:49,83.64285714,83.62
320,83.43,,83.3301,83.4098,38665,12/3/2021 11:50,83.63142857,83.45
321,83.44,,83.43,83.55,28242,12/3/2021 11:51,83.63142857,83.55
322,83.57,,83.5401,83.585,27186,12/3/2021 11:52,83.62571429,83.61
323,83.5999,,83.5175,83.543,33973,12/3/2021 11:53,83.61571429,83.61
324,83.56,,83.3,83.35,30721,12/3/2021 11:54,83.59571429,83.56
325,83.35,,83.34,83.54,41652,12/3/2021 11:55,83.56765714,83.5736
326,83.57,,83.5,83.7124,48456,12/3/2021 11:56,83.58194286,83.72
327,83.7,,83.7,83.84,59629,12/3/2021 11:57,83.64194286,83.87
328,83.85,,83.79,83.88,33981,12/3/2021 11:58,83.69051429,83.89
329,83.8445,,83.7183,83.7183,53838,12/3/2021 11:59,83.72908571,83.88
330,83.715,,83.44,83.525,50508,12/3/2021 12:00,83.75694286,83.805
331,83.52,,83.4,83.46,44328,12/3/2021 12:01,83.75408571,83.54
332,83.47,,83.44,83.4877,46629,12/3/2021 12:02,83.74641429,83.5199
333,83.48,,83.48,83.73,65092,12/3/2021 12:03,83.75044286,83.7482
334,83.7214,,83.6631,83.83,48164,12/3/2021 12:04,83.74472857,83.83
335,83.82,,83.6501,83.7519,38271,12/3/2021 12:05,83.73472857,83.82
336,83.75,,83.67,83.76,33758,12/3/2021 12:06,83.72472857,83.81
337,83.75,,83.75,83.8266,56575,12/3/2021 12:07,83.73544286,83.88
338,83.83,,83.56,83.56,53615,12/3/2021 12:08,83.77687143,83.83
339,83.55,,83.4,83.4,52895,12/3/2021 12:09,83.78831429,83.6
340,83.391,,83.391,83.46,48121,12/3/2021 12:10,83.76285714,83.57
341,83.46,,83.46,83.49,43594,12/3/2021 12:11,83.72857143,83.59
342,83.46,,83.42,83.45,47519,12/3/2021 12:12,83.68714286,83.53
343,83.4544,,83.45,83.5601,43422,12/3/2021 12:13,83.65714286,83.6
344,83.57,,83.45,83.45,41099,12/3/2021 12:14,83.62857143,83.68
345,83.45,,83.43,83.43,49305,12/3/2021 12:15,83.58857143,83.55
346,83.44,,83.26,83.385,59425,12/3/2021 12:16,83.56571429,83.44
347,83.385,,83.36,83.36,36234,12/3/2021 12:17,83.54855714,83.4499
348,83.37,,83.18,83.3414,69145,12/3/2021 12:18,83.51712857,83.37
349,83.36,,83.2219,83.25,39304,12/3/2021 12:19,83.50141429,83.42
350,83.255,,83.23,83.5599,43273,12/3/2021 12:20,83.4957,83.56
