,open,high,low,close,volume,date,,,,Tick open,Spy gap percentage,Spy close percentage
243,381.11,384.79,380.69,383.89,61836062,1/19/2021 22:00,,,,,,
244,384.49,384.95,383.25,384.24,47955809,1/20/2021 22:00,,,,,,
245,382.25,384.1256,381.835,382.88,52136931,1/21/2021 22:00,,,,,,
246,383.67,384.77,378.46,384.39,70401971,1/24/2021 22:00,,,,,,
247,385.41,385.85,383.54,383.79,42665281,1/25/2021 22:00,,,,,,
248,380.22,380.32,372.01,374.41,123351078,1/26/2021 22:00,,,,,,
249,376.36,381.93,375.89,377.63,94198104,1/27/2021 22:00,,,,,,
250,375.63,376.67,368.27,370.07,126765121,1/28/2021 22:00,,,,,,
251,373.72,377.34,370.376,376.23,75817597,1/31/2021 22:00,,,,,,
252,379.65,383.22,376.3181,381.55,64450662,2/1/2021 22:00,,,,,,
253,382.435,383.7,380.48,381.85,52427090,2/2/2021 22:00,,,,,,
