date,1. open,2. high,3. low,4. close,5. volume
2021-12-09 07:28:00,174.38,174.38,174.33,174.34,1565.0
2021-12-09 07:27:00,174.4,174.4,174.4,174.4,1618.0
2021-12-09 07:26:00,174.29,174.41,174.29,174.41,7311.0
2021-12-09 07:25:00,174.34,174.36,174.31,174.31,1200.0
2021-12-09 07:24:00,174.36,174.36,174.27,174.34,4644.0
2021-12-09 07:23:00,174.41,174.41,174.35,174.35,2280.0
2021-12-09 07:22:00,174.35,174.38,174.34,174.38,1261.0
2021-12-09 07:21:00,174.35,174.37,174.35,174.37,986.0
2021-12-09 07:20:00,174.43,174.43,174.37,174.37,1759.0
2021-12-09 07:19:00,174.41,174.43,174.41,174.43,2297.0
2021-12-09 07:18:00,174.29,174.35,174.29,174.35,5452.0
2021-12-09 07:17:00,174.21,174.28,174.2,174.28,4359.0
2021-12-09 07:16:00,174.13,174.18,174.13,174.18,2376.0
2021-12-09 07:15:00,174.16,174.17,174.08,174.08,4844.0
2021-12-09 07:14:00,174.29,174.29,174.16,174.16,7192.0
2021-12-09 07:13:00,174.25,174.29,174.24,174.29,4401.0
2021-12-09 07:12:00,174.19,174.25,174.19,174.25,3112.0
2021-12-09 07:11:00,174.15,174.15,174.15,174.15,1123.0
2021-12-09 07:10:00,174.14,174.14,174.11,174.11,1779.0
2021-12-09 07:09:00,174.18,174.18,174.15,174.15,3145.0
2021-12-09 07:08:00,174.13,174.18,174.13,174.15,6199.0
2021-12-09 07:07:00,174.16,174.18,174.15,174.15,6261.0
2021-12-09 07:06:00,174.16,174.16,174.13,174.15,8174.0
2021-12-09 07:05:00,174.1,174.16,174.06,174.15,6443.0
2021-12-09 07:04:00,174.11,174.15,174.04,174.1,7694.0
2021-12-09 07:03:00,174.05,174.1,174.05,174.1,6812.0
2021-12-09 07:02:00,174.08,174.1,174.03,174.04,5245.0
2021-12-09 07:01:00,173.85,174.09,173.85,174.01,9335.0
2021-12-09 07:00:00,173.84,173.85,173.84,173.85,1059.0
2021-12-09 06:59:00,173.8,173.84,173.8,173.84,591.0
2021-12-09 06:58:00,173.77,173.77,173.77,173.77,665.0
2021-12-09 06:56:00,173.71,173.71,173.67,173.67,729.0
2021-12-09 06:55:00,173.71,173.71,173.71,173.71,327.0
2021-12-09 06:50:00,173.68,173.68,173.68,173.68,830.0
2021-12-09 06:46:00,173.72,173.75,173.72,173.75,830.0
2021-12-09 06:45:00,173.76,173.76,173.74,173.74,763.0
2021-12-09 06:42:00,173.8,173.8,173.8,173.8,347.0
2021-12-09 06:39:00,173.77,173.77,173.77,173.77,192.0
2021-12-09 06:37:00,173.8,173.8,173.8,173.8,239.0
2021-12-09 06:36:00,173.85,173.85,173.85,173.85,760.0
2021-12-09 06:35:00,173.8,173.8,173.8,173.8,3211.0
2021-12-09 06:33:00,173.75,173.79,173.75,173.79,508.0
2021-12-09 06:32:00,173.73,173.75,173.73,173.75,2202.0
2021-12-09 06:31:00,173.73,173.73,173.73,173.73,204.0
2021-12-09 06:29:00,173.74,173.74,173.68,173.68,814.0
2021-12-09 06:28:00,173.75,173.75,173.75,173.75,2183.0
2021-12-09 06:27:00,173.75,173.75,173.75,173.75,250.0
2021-12-09 06:25:00,173.8,173.83,173.72,173.83,1351.0
2021-12-09 06:24:00,173.74,173.76,173.74,173.76,1998.0
2021-12-09 06:22:00,173.7,173.74,173.7,173.74,1108.0
2021-12-09 06:21:00,173.66,173.7,173.66,173.7,1098.0
2021-12-09 06:20:00,173.67,173.67,173.67,173.67,705.0
2021-12-09 06:16:00,173.61,173.61,173.61,173.61,789.0
2021-12-09 06:15:00,173.64,173.64,173.62,173.62,817.0
2021-12-09 06:14:00,173.7,173.7,173.7,173.7,612.0
2021-12-09 06:13:00,173.76,173.77,173.75,173.75,2287.0
2021-12-09 06:12:00,173.8,173.81,173.8,173.8,3263.0
2021-12-09 06:10:00,173.89,173.89,173.89,173.89,299.0
2021-12-09 06:08:00,173.9,173.9,173.81,173.81,1217.0
2021-12-09 06:05:00,173.86,173.9,173.86,173.9,7168.0
2021-12-09 06:04:00,173.85,173.85,173.85,173.85,973.0
2021-12-09 06:03:00,173.85,173.85,173.85,173.85,311.0
2021-12-09 05:59:00,173.84,173.85,173.84,173.85,1754.0
2021-12-09 05:58:00,173.85,173.85,173.85,173.85,623.0
2021-12-09 05:57:00,173.85,173.85,173.85,173.85,262.0
2021-12-09 05:55:00,173.84,173.85,173.84,173.85,587.0
2021-12-09 05:52:00,173.8,173.8,173.8,173.8,495.0
2021-12-09 05:50:00,173.8,173.8,173.76,173.76,1828.0
2021-12-09 05:49:00,173.8,173.8,173.8,173.8,792.0
2021-12-09 05:48:00,173.79,173.79,173.79,173.79,215.0
2021-12-09 05:46:00,173.8,173.8,173.8,173.8,1175.0
2021-12-09 05:44:00,173.77,173.77,173.77,173.77,406.0
2021-12-09 05:43:00,173.77,173.77,173.7,173.75,3656.0
2021-12-09 05:41:00,173.8,173.8,173.8,173.8,1240.0
2021-12-09 05:35:00,173.9,173.9,173.8,173.8,3658.0
2021-12-09 05:34:00,173.88,173.88,173.88,173.88,340.0
2021-12-09 05:33:00,173.94,174.0,173.94,174.0,4945.0
2021-12-09 05:31:00,173.95,173.95,173.95,173.95,159.0
2021-12-09 05:29:00,173.94,173.94,173.94,173.94,721.0
2021-12-09 05:26:00,173.83,173.83,173.83,173.83,229.0
2021-12-09 05:25:00,173.8,173.8,173.8,173.8,351.0
2021-12-09 05:24:00,173.85,173.85,173.8,173.8,899.0
2021-12-09 05:23:00,173.85,173.86,173.83,173.83,1514.0
2021-12-09 05:21:00,173.86,173.86,173.86,173.86,466.0
2021-12-09 05:20:00,173.9,173.9,173.9,173.9,325.0
2021-12-09 05:19:00,173.98,173.98,173.9,173.9,1928.0
2021-12-09 05:17:00,173.98,174.08,173.98,174.08,6354.0
2021-12-09 05:16:00,173.98,173.98,173.98,173.98,347.0
2021-12-09 05:14:00,173.92,173.93,173.9,173.9,3838.0
2021-12-09 05:13:00,173.91,173.91,173.84,173.9,10076.0
2021-12-09 05:12:00,174.04,174.04,173.9,173.9,8640.0
2021-12-09 05:11:00,174.09,174.13,174.03,174.03,1261.0
2021-12-09 05:10:00,174.11,174.15,173.95,173.95,4659.0
2021-12-09 05:09:00,174.13,174.13,174.1,174.1,3178.0
2021-12-09 05:08:00,174.33,174.33,174.2,174.2,3138.0
2021-12-09 05:07:00,174.33,174.33,174.33,174.33,291.0
2021-12-09 05:06:00,174.38,174.4,174.38,174.4,1234.0
2021-12-09 05:05:00,174.44,174.45,174.38,174.38,6572.0
2021-12-09 05:04:00,174.55,174.55,174.5,174.5,3120.0
2021-12-09 05:01:00,174.56,174.56,174.56,174.56,286.0
2021-12-09 04:58:00,174.56,174.56,174.56,174.56,788.0
2021-12-09 04:52:00,174.56,174.56,174.56,174.56,273.0
2021-12-09 04:50:00,174.7,174.7,174.65,174.65,549.0
2021-12-09 04:47:00,174.7,174.7,174.7,174.7,1629.0
2021-12-09 04:42:00,174.54,174.54,174.54,174.54,897.0
2021-12-09 04:41:00,174.48,174.48,174.48,174.48,867.0
2021-12-09 04:40:00,174.52,174.52,174.52,174.52,929.0
2021-12-09 04:38:00,174.59,174.59,174.59,174.59,699.0
2021-12-09 04:37:00,174.54,174.54,174.52,174.52,527.0
2021-12-09 04:35:00,174.52,174.52,174.52,174.52,329.0
2021-12-09 04:33:00,174.55,174.55,174.55,174.55,222.0
2021-12-09 04:31:00,174.6,174.6,174.6,174.6,267.0
2021-12-09 04:29:00,174.5,174.5,174.5,174.5,615.0
2021-12-09 04:28:00,174.5,174.5,174.46,174.47,2117.0
2021-12-09 04:27:00,174.49,174.5,174.49,174.5,1695.0
2021-12-09 04:26:00,174.7,174.7,174.5,174.5,4287.0
2021-12-09 04:25:00,174.75,174.75,174.75,174.75,814.0
2021-12-09 04:22:00,174.68,174.7,174.68,174.7,832.0
2021-12-09 04:21:00,174.56,174.56,174.56,174.56,1052.0
2021-12-09 04:20:00,174.56,174.56,174.56,174.56,187.0
2021-12-09 04:19:00,174.55,174.55,174.55,174.55,427.0
2021-12-09 04:17:00,174.6,174.6,174.6,174.6,560.0
2021-12-09 04:15:00,174.6,174.6,174.6,174.6,838.0
